更新时间,#genre#
2026-01-23 03:30:34,https://v26-mccv.onewsvod.com/d2154c1a6ddc0838e4abc889a6e98ea3/6961ce2d/video/tos/cn/tos-cn-ve-19734/oQe05gEGSC3aBeQLIacN1mQyiBkAewCAvzI0r9/?a=34&ch=0&cr=0&dr=1&er=0&lr=xigua&cd=0%7C0%7C1%7C0&cv=1&br=645&bt=645&cs=0&ds=1&ft=z5kIyzPccxibXGrsfDsdetlN4gd3-tEmHqYWHFYis9.QXch00hL4ge3p-A~nRfqs&mime_type=video_mp4&qs=0&rc=Mzw7OztmO2Q2ZzhnMzpkO0BpajM3ZHA5cjo5ODczNDlnM0BhMzNiYjIyNi0xXmA2MDQ0YSNjNXNqMmRrcWRhLS1kLi9zcw%3D%3D&btag=c0000e00028000&dy_q=1768013686&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=20260110105446040CECB650444F5940E4

婉儿为哥哥整理,#genre#
今日荐影,https://stream1.freetv.fun/california-music-channel-1.m3u8
今日鉴赏,https://vd3.bdstatic.com/mda-mgqiagirsmmpuarm/1080p/cae_h264/1627218846577884242/mda-mgqiagirsmmpuarm.mp4

央视,#genre#
CCTV-4-America-(1080p),https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV12,http://101.66.199.169:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://38.75.136.137:98/gslb/dsdqca/cctv14hd.m3u8?auth=test20251009
CCTV14,https://t.freetv.fun/live/cctv14-1.m3u8$[BD]cctv14

卫视,#genre#
东南卫视,http://123.130.84.106:8154/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://153.0.171.163:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://61.156.228.12:8154/tsfile/live/0123_1.m3u8
天津卫视,http://60.16.0.216:5757/hls/34/index.m3u8
山东新闻,http://221.2.148.205:8154/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er.m3u8
广西国际,http://hlscdn.liangtv.cn/live/0234c48e0bc24fe1b41b9999a253e581/1075ee38e04f490690f6a36a16e09c79.m3u8?fbl=
河北卫视,http://101.66.199.129:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8

港澳台,#genre#
民视新闻-HD,https://stream1.freetv.fun/fffd54cb8b867dcf5861d222dc22653d5f56f0f01f9b1a3e5f540fbc592a2760.m3u8

体育,#genre#
精品体育,https://epg.pw/stream/866a097a0907c9832440f8df38272dd555abf05200dfbafcc137e214c9b30ca7.m3u8

电视剧,#genre#
怀旧剧场,http://171.83.103.119:9999/rtp/239.69.1.86:10156

音乐,#genre#
Frecuencia-Musical-TV-[Not-24/7],https://s2.tvdatta.com:3307/hybrid/play.m3u8

其他,#genre#
ABC-WWAY-3,https://townnews.g-mana.live/media/027a05c7-43b6-49eb-ad10-a0c0f10a0754/main.m3u8
ART-France,https://stream1.freetv.fun/dcbb381b153b0d6f55a3c456890a8f278ddd9d98cabcb3757f83eb83a7949208.m3u8
Afra-Film,https://afrafhls.wns.live/hls/stream.m3u8
Al-Jadeed-(1080p),http://185.9.2.18/chid_391/mono.m3u8
Almagd-TV-Middle-East-(1080p)-[Not-24/7],https://597f64b67707a.streamlock.net/almagd.tv/almagd.smil/playlist.m3u8
American-Ninja-Warrior,https://xumo-drct-ch812-n4996.fast.nbcuni.com/live/master.m3u8
Amrita-TV-(720p),https://ddash74r36xqp.cloudfront.net/master.m3u8
Aragon-TV-Internacional-(720p)-[Not-24/7],https://cartv.streaming.aranova.es/hls/live/aragontv_canal1.m3u8
